DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-131,-129,0,-1,303,277,275,275,1590185811736
-129,-128,0,-1,303,277,275,275,1590185814166
-129,-130,0,0,303,278,278,277,1590185816596
-131,-130,0,0,303,278,277,276,1590185819026
-131,-129,0,-1,303,277,275,275,1590185821456
-129,-128,0,-1,303,277,276,275,1590185823886
-129,-130,0,0,303,278,278,277,1590185826317
-131,-130,0,0,303,278,277,276,1590185828747
-131,-128,0,-1,303,278,275,275,1590185831176
-129,-128,0,-1,303,278,276,275,1590185833606
-129,-130,0,0,303,278,278,277,1590185836036
-131,-130,0,0,303,278,278,277,1590185838467
-131,-129,0,-1,303,277,276,275,1590185840896
-130,-128,0,-1,303,277,275,275,1590185843330
-129,-128,0,-1,303,277,275,274,1590185845777
-129,-128,0,-1,303,277,276,275,1590185848207
-129,-130,0,0,303,278,278,277,1590185850636
-130,-130,0,0,303,278,278,277,1590185853068
-131,-130,0,0,303,278,277,276,1590185855496
-131,-129,0,-1,303,277,275,275,1590185857926
-129,-128,0,-1,303,277,275,275,1590185860357
-129,-128,0,0,303,277,277,276,1590185862786
-129,-130,0,0,303,278,278,277,1590185865216
-131,-131,0,0,303,278,278,277,1590185867647
-131,-129,0,-1,303,278,276,276,1590185870076
-131,-129,0,0,303,278,277,277,1590185872531
-129,-130,0,-1,303,277,275,275,1590185874987
-129,-130,0,0,303,278,277,277,1590185877416
-130,-131,0,0,303,278,278,277,1590185879847
-131,-130,0,0,302,278,278,276,1590185882276
-131,-129,0,-1,302,277,276,275,1590185884706
-130,-128,0,-1,302,277,275,274,1590185887137
-129,-129,0,0,302,278,277,276,1590185889566
-130,-131,0,0,302,278,278,277,1590185891996
-131,-131,0,0,302,279,278,277,1590185894426
-131,-129,0,-1,302,277,276,275,1590185896857
-130,-129,0,-1,302,277,275,275,1590185899286
-129,-130,0,0,302,278,277,276,1590185901717
-130,-131,0,0,302,278,278,277,1590185904147
-131,-131,0,0,302,276,275,274,1590185906586
-130,-130,0,0,302,278,277,276,1590185909016
-130,-131,0,0,302,278,278,277,1590185911446
-131,-130,0,0,302,278,277,277,1590185913877
-131,-129,0,-1,302,277,276,275,1590185916306
-130,-128,0,-1,302,277,275,274,1590185918737
-129,-130,0,0,302,278,277,277,1590185921166
-130,-131,0,0,302,278,278,277,1590185923596
-131,-130,0,0,302,278,277,276,1590185926027
-131,-129,0,-1,302,277,275,274,1590185928456
-130,-128,0,-1,302,277,275,275,1590185930886
-130,-130,0,0,302,277,277,276,1590185933317
